[00:09.980 --> 00:10.980]  Oh, nice.
[25:38.580 --> 25:44.740]  I mean, I've got my hybrid facility already like spec'd out down to the power outlets.
[25:45.540 --> 25:47.220]  It's in a file down there.
[25:47.940 --> 25:48.900]  Maybe it'll happen.
[25:48.900 --> 25:49.780]  Maybe it won't.
[25:49.780 --> 25:50.820]  But yeah.
[25:50.820 --> 25:52.820]  No, you need to say, bro, you need to say you will.
[25:52.820 --> 25:55.380]  You can't mess this up unless you say you're going to do it.
[25:55.940 --> 25:57.300]  I believe in you, bro.
[25:57.300 --> 25:58.580]  I'll help you any way you can.
[25:58.580 --> 26:01.780]  Honestly, that's what it is about manifesting.
[26:01.780 --> 26:05.300]  It's about pursuing this passion and not giving up.
[26:07.060 --> 26:07.460]  Yeah.
[26:07.460 --> 26:08.500]  No, 100%.
[26:08.500 --> 26:09.300]  I appreciate that.
[26:09.300 --> 26:09.860]  I like that.
[26:09.860 --> 26:10.420]  Thank you.
[26:10.420 --> 26:11.060]  I am.
[26:11.060 --> 26:13.060]  You know, I started looking at licenses.
[26:13.060 --> 26:17.620]  I started looking at licenses again a couple of weeks ago.
[26:17.620 --> 26:21.700]  I got a friend from Amsterdam who actually was like, I'm coming.
[26:21.700 --> 26:22.580]  We need a license.
[26:25.140 --> 26:25.860]  It would be nice.
[26:26.660 --> 26:28.340]  So yes, I am looking at those things.
[26:28.340 --> 26:29.220]  Hopefully that turns out.
[26:29.220 --> 26:31.220]  Make it work, gentlemen.
[26:31.220 --> 26:32.020]  Yes.
[26:32.020 --> 26:32.420]  Yes.
[26:32.420 --> 26:33.940]  Let's make it work.
[26:33.940 --> 26:39.860]  So you just kind of touched on what you did in the kitchen, Chef.
[26:39.860 --> 26:41.060]  Can you tell us a little bit more?
[26:41.060 --> 26:43.940]  Because from what I hear is you're not the average bear.
[26:43.940 --> 26:46.100]  You've done this a couple of times?
[26:47.700 --> 26:48.020]  Yeah.
[26:48.020 --> 26:52.660]  Well, so I'm not just a cannabis chef, I guess.
[26:52.660 --> 26:55.780]  I've been doing this for about 20 years.
[26:57.620 --> 27:00.420]  I started as a teenager in the kitchen.
[27:00.420 --> 27:06.500]  And as a young man, prior to my son being born, I enrolled in culinary school.
[27:07.220 --> 27:15.460]  And I've been working in the restaurant industry up until about four, five years ago when I
[27:16.500 --> 27:18.740]  kind of transitioned into the cannabis industry.
[27:19.300 --> 27:28.900]  And I have worked on several projects and have more recently been consecutively winning awards.
[27:29.860 --> 27:36.660]  So I've been together to chase them together.
[27:37.380 --> 27:37.860]  Yeah.
[27:37.860 --> 27:41.700]  Now, do you have like a preference or a specialty?
[27:41.700 --> 27:44.820]  Like, are you like, I'm the hard candy guy?
[27:44.820 --> 27:46.820]  Or do you like to spread it all around?
[27:47.780 --> 27:49.140]  What do you make in the kitchen?
[27:52.980 --> 27:58.100]  So for edibles, I have one.
[27:59.060 --> 28:00.820]  So I wouldn't be the hard candy guy.
[28:00.820 --> 28:02.420]  I guess I would be the caramel guy.
[28:03.540 --> 28:07.300]  I've won first place awards for my caramel.
[28:08.100 --> 28:15.540]  And that is a Celtic seed salt and aged Scottish whiskey made with organic cane sugar, tapioca
[28:15.540 --> 28:18.820]  syrup instead of corn syrup.
[28:18.820 --> 28:21.860]  I don't use any high fructose corn syrup or anything like that.
[28:22.580 --> 28:24.020]  That's also organic.
[28:26.260 --> 28:28.100]  Well, as local made butter.
[28:28.980 --> 28:35.620]  So I try to make sure I'm putting the highest quality ingredients into everything I do along
[28:35.620 --> 28:37.220]  every step of the way, starting from-
[28:37.220 --> 28:38.900]  Don't forget the real vanilla.
[28:38.900 --> 28:40.100]  Remember Cheddar Bob was like-
[28:41.380 --> 28:42.260]  Oh yeah.
[28:42.260 --> 28:44.660]  Cheddar Bob asked me at the Regen conference.
[28:44.660 --> 28:46.740]  He held up the caramel, hope he's watching.
[28:46.740 --> 28:48.420]  He said, what'd you use?
[28:49.940 --> 28:51.460]  I said, vanilla bean.
[28:51.460 --> 28:53.780]  And he was like, ah, no extract.
[28:53.780 --> 28:54.660]  All right.
[28:54.660 --> 28:58.820]  And you know, coming from him, that really meant a lot because he chopped me up and he
[28:58.820 --> 29:00.180]  said, you know, I used to work out.
[29:02.020 --> 29:05.060]  It wasn't, I don't believe it could have been the French laundry.
[29:05.060 --> 29:05.940]  I believe it was.
[29:06.500 --> 29:07.460]  Could be wrong.
[29:07.460 --> 29:09.860]  If it is wrong, sorry Cheddar Bob.
[29:09.860 --> 29:13.700]  But you know, that like kind of blew my mind to hear the props from him.
[29:13.700 --> 29:17.620]  So, but I also make baklava.
[29:17.620 --> 29:18.900]  Okay.
[29:18.900 --> 29:25.380]  And that was inspired by Peter Papadopoulos, Turk Tower Invitational.
[29:27.540 --> 29:29.300]  That was a family thing that his grandmother-
[29:32.100 --> 29:35.220]  My Stroopwafel, shout out to Amsterdam.
[29:35.220 --> 29:37.140]  Shout out to Amsterdam over there.
[29:37.620 --> 29:40.100]  So that one-
[29:40.100 --> 29:45.060]  That praline he put in there is like even better than the caramel, honestly.
[29:45.060 --> 29:45.620]  It is like-
[29:47.300 --> 29:47.860]  Well, I had-
[29:47.860 --> 29:50.820]  I've had some Nutella Stroopwafels too.
[29:52.660 --> 29:53.940]  So it was, okay.
[29:53.940 --> 29:56.420]  So it was kind of similar to that.
[29:56.420 --> 29:59.700]  So I made a praline.
[29:59.700 --> 30:06.340]  I toasted up cashews, hazelnuts, almonds, and pecans.
[30:06.900 --> 30:10.340]  And then I made a hard crack praline with that.
[30:10.340 --> 30:14.900]  And I buzzed it up in the fruit processor until it was a smooth caramel.
[30:14.900 --> 30:19.940]  But then I made a little caramel on the side instead of the Stroop filling.
[30:19.940 --> 30:21.620]  And I buzzed that in with it.
[30:21.620 --> 30:25.300]  And that was the smooth, smooth praline filling for the Stroopwafel.
[30:25.300 --> 30:29.220]  So that took first place at the Boston Mecan.
[30:29.780 --> 30:35.300]  And that I really, really feel proud of because that was one out of 55 entries
[30:36.100 --> 30:37.060]  in that category.
[30:38.180 --> 30:40.260]  And he made the Stroopwafels himself too, dude.
[30:40.260 --> 30:41.380]  You made your own batter.
[30:41.380 --> 30:42.820]  You made your own waffles.
[30:43.700 --> 30:43.860]  Yeah.
[30:43.860 --> 30:45.620]  I found my grandfather's press.
[30:47.700 --> 30:49.540]  My grandfather had an old press.
[30:49.540 --> 30:53.460]  I used it for Italian cookies, but I used it to make the Stroopwafels.
[30:54.980 --> 30:56.580]  I'm coming to your house, man.
[30:57.700 --> 30:58.580]  I'm coming for breakfast.
[30:58.580 --> 31:00.180]  Dutch Blooms, Kevin Jodry.
[31:01.460 --> 31:04.100]  You gave them out all to those people at the region.
[31:04.660 --> 31:08.500]  You made some little half Stroopwafels to give out.
[31:08.500 --> 31:11.860]  And I think even Dutch was like, this is some of the best bioavailable.
[31:13.940 --> 31:14.180]  Yeah.
[31:14.180 --> 31:15.140]  We got so...
[31:15.140 --> 31:15.380]  Yeah.
[31:15.380 --> 31:15.860]  Everyone was...
[31:16.980 --> 31:17.540]  ...words.
[31:17.540 --> 31:20.180]  And Dutch said that to Shango Los.
[31:20.180 --> 31:21.940]  Shango Los chimed in and Dutch said,
[31:23.460 --> 31:27.300]  Shango, this chef makes the most bioavailable edibles that I've ever had.
[31:27.300 --> 31:28.020]  And you know that?
[31:28.020 --> 31:29.140]  Wow.
[31:29.140 --> 31:32.740]  Another awesome compliment that really blew my mind there.
[31:33.700 --> 31:34.180]  Yeah.
[31:34.180 --> 31:34.420]  Yeah.
[31:34.420 --> 31:38.260]  You might've remembered him when he won out there at the Auto Flower Cup with the caramel.
[31:39.860 --> 31:44.340]  That was the first win for the caramel, but then it won the Portland Meek and
[31:45.300 --> 31:50.180]  when I came back to the East Coast the same year in the fall of 2021.
[31:50.180 --> 31:52.260]  Wow.
[31:52.260 --> 31:52.500]  So...
[31:52.500 --> 31:52.980]  So real.
[31:52.980 --> 31:53.540]  ...in the last...
[31:56.660 --> 32:02.340]  ...in the last just year and a half, I've won five first place awards and one second place award.
[32:03.460 --> 32:05.140]  Dude, congratulations.
[32:06.740 --> 32:07.700]  Thank you very much.
[32:07.700 --> 32:08.580]  Congratulations.
[32:08.580 --> 32:13.940]  And I'm not surprised and I'll tell you why in a second, but Stroopwafel, Raymond.
[32:13.940 --> 32:19.780]  So it's a very thin, I don't want to say pancake, I want to say more of like a crepe,
[32:19.780 --> 32:25.380]  very thin layer and then you put a layer of whatever you want in the middle,
[32:25.380 --> 32:28.020]  put another one on top and then you eat it.
[32:28.020 --> 32:28.900]  It's kind of like a...
[32:29.620 --> 32:33.700]  can be like a waffle cone from where you get it, but the ones in Amsterdam are more
[32:34.500 --> 32:39.780]  of a batter than like a real waffle cone, but that's kind of what a Stroopwafel is.
[32:39.780 --> 32:43.140]  So it's like a really thin pressed cookie and you just...
[32:44.820 --> 32:50.020]  It's good stuff, but I'm sure, Chef, you could probably make them in all kinds of forms though.
[32:52.740 --> 32:57.940]  They like to leave it on top of their coffee in Amsterdam to warm it up in both sides.
[32:58.900 --> 33:00.900]  So it's kind of like a Stroop in the middle of the...
[33:00.900 --> 33:02.900]  I like this.
[33:02.900 --> 33:07.540]  ... but it's more like a molasses based traditionally.
[33:09.060 --> 33:10.660]  Yeah, this is good stuff.
[33:11.620 --> 33:18.580]  But back to the point of why I'm not surprised why you have a lot of wins over these last
[33:18.580 --> 33:19.780]  couple of years.
[33:19.780 --> 33:22.340]  And side note, I know you guys are in Boston.
[33:22.340 --> 33:25.940]  You went to Boston when I saw Danny Danko like the post today and I'm like,
[33:25.940 --> 33:28.820]  Danko, he knows you guys.
[33:28.820 --> 33:30.660]  He's seen you on the winning podiums.
[33:30.660 --> 33:31.940]  He's like, yeah, they're cool.
[33:31.940 --> 33:33.540]  I like this dude's post.
[33:33.540 --> 33:39.940]  But it goes back to kind of what I see in a lot of John's growing style.
[33:41.940 --> 33:46.180]  And this is kind of what I'm hearing from you as far as the ingredients you choose to
[33:46.180 --> 33:46.500]  use.
[33:46.500 --> 33:48.180]  You're not cutting corners.
[33:48.180 --> 33:52.500]  You're going to do something that may take you an hour that may take somebody else 10
[33:52.500 --> 33:52.900]  minutes.
[33:53.620 --> 33:59.700]  But you taste that hour dedication in it and you taste that hour dedication in his products
[33:59.700 --> 34:00.100]  as well.
[34:00.740 --> 34:07.940]  So it's really to me, it sounds like not cutting corners and just using the best of the best.
[34:07.940 --> 34:12.740]  Again, Cheddar Bob even got on the comments and saying your guys's praises.
[34:12.740 --> 34:15.380]  Speaking of holy shit, he's like, all these guys are great.
[34:15.380 --> 34:16.500]  Can't wait to see it.
[34:16.500 --> 34:19.300]  So yeah, you guys are doing something right up there.
[34:19.860 --> 34:25.860]  But is that really kind of a conscious effort or is it just happened to turn out that way?
[34:26.900 --> 34:28.820]  Are you willing to take longer?
[34:31.940 --> 34:36.420]  I'm going to take the rest of my life because I'm always learning.
[34:36.420 --> 34:45.540]  And that's one thing as I have been learning is first as a chef, it's like you have to
[34:45.540 --> 34:46.340]  know your costs.
[34:46.420 --> 34:48.980]  And that's the most important thing.
[34:48.980 --> 34:53.700]  So like coming into it, it was like, okay, how can I do the most cost efficient?
[34:54.260 --> 34:58.100]  And as I've been going, it's like, I don't want it to be the cheapest.
[34:58.100 --> 35:02.580]  This is for me, for my medicine and for my family and for their medicine.
