[00:00.000 --> 00:01.340]  I did, I did.
[18:53.520 --> 18:55.540]  and then they just have to get to them
[18:55.540 --> 18:58.980]  just before the females start to push or flip
[18:59.820 --> 19:01.580]  but he says that there is a big difference to it.
[19:01.580 --> 19:03.940]  So yeah, that was a good one, Brian.
[19:05.580 --> 19:06.420]  Right on.
[19:07.340 --> 19:11.380]  So how, are you more of like a metaphysical type
[19:11.380 --> 19:12.460]  individual, Andrew?
[19:12.460 --> 19:15.620]  Are you putting crystals in when you're sprouting your beans
[19:15.620 --> 19:20.620]  or are you more focused on tried and true, I guess,
[19:20.620 --> 19:22.860]  you know, you're self-taught as well.
[19:22.860 --> 19:24.940]  So I feel like, you know, just what you've seen
[19:24.940 --> 19:26.900]  with your own experience kind of thing.
[19:27.860 --> 19:31.380]  I mean, I haven't gotten like too into like popping seeds
[19:31.380 --> 19:34.620]  on the moon cycle and like doing things like that.
[19:34.620 --> 19:36.380]  I mean, I think there is something to it
[19:36.380 --> 19:39.540]  but it's not like an area that I've like explored a lot,
[19:39.540 --> 19:43.660]  you know, and I don't know, there's just a lot of like,
[19:43.660 --> 19:46.500]  I think there's a lot of deeper just realms to the earth
[19:46.500 --> 19:47.700]  that we don't understand.
[19:47.700 --> 19:50.420]  And, you know, like I said, like metaphysical powers
[19:50.420 --> 19:53.380]  and, you know, the symbiotic relationship when, you know
[19:53.380 --> 19:55.500]  like you're saying like a female can sense a male
[19:55.500 --> 19:58.100]  being around or I don't know, there's just things
[19:58.100 --> 19:59.180]  that we don't understand.
[19:59.180 --> 20:01.780]  And, you know, I've always felt open to those things,
[20:01.780 --> 20:04.660]  you know, but yeah.
[20:06.100 --> 20:08.460]  So your main focus then is on the soil nutrition
[20:08.460 --> 20:11.780]  and biological diversity for the most part.
[20:11.780 --> 20:14.260]  For the most part, yeah, absolutely.
[20:14.260 --> 20:16.100]  Are you doing IMOs?
[20:16.100 --> 20:18.780]  I do, I do IMO two mostly.
[20:18.780 --> 20:21.140]  I don't do a lot of the IMO three
[20:21.140 --> 20:24.460]  where I'm like mixing it outside just because like,
[20:24.460 --> 20:26.380]  I don't know, like I have a lot of stuff going on
[20:26.380 --> 20:27.540]  and it's hard to like get out there
[20:27.540 --> 20:31.060]  and turn the pile by hand like all the time
[20:31.060 --> 20:32.420]  when it needs to be turned.
[20:32.420 --> 20:33.660]  Are you doing scale?
[20:33.660 --> 20:36.340]  I mean, how big is your growth now?
[20:36.340 --> 20:38.660]  Well, right now I'm just operating as a caregiver.
[20:38.660 --> 20:43.660]  So I have 72 plants and I have to stay strictly within that.
[20:43.980 --> 20:48.980]  But soon I am moving on to like an opportunity
[20:49.820 --> 20:51.660]  to where I will be able to have like some more plants
[20:51.660 --> 20:52.500]  and stuff.
[20:52.500 --> 20:54.740]  I'll be able to work my genetics a little harder
[20:54.740 --> 20:59.300]  and do some larger hunts and it's gonna be a good thing.
[20:59.300 --> 21:01.380]  Nice, so when you use your IMO two,
[21:01.380 --> 21:02.380]  what are you doing with it?
[21:02.380 --> 21:05.340]  Are you making it, liquefying it or?
[21:05.340 --> 21:09.820]  I'm generally doing like the liquid IMO,
[21:09.820 --> 21:14.820]  like, you know, the limo like that Chris Trump promotes.
[21:15.140 --> 21:16.660]  It's his recipe.
[21:16.660 --> 21:17.500]  Okay.
[21:18.780 --> 21:20.540]  It's got like some humic acid in it
[21:20.540 --> 21:25.540]  and it's got FPGA and it's got a little bit of OHN.
[21:26.540 --> 21:30.260]  So you're taking it right from two and liquefying it.
[21:30.260 --> 21:31.100]  So you're not growing it.
[21:31.100 --> 21:32.540]  Yeah, I just brew it straight up.
[21:32.540 --> 21:34.540]  I just take the rice and I usually brew it.
[21:34.540 --> 21:38.180]  Like I brew like a concentrate in a five gallon bucket.
[21:38.180 --> 21:41.460]  And then I like introduce that to my like hole
[21:41.460 --> 21:45.460]  of watering pot basically, like my big reservoir.
[21:45.460 --> 21:47.300]  And then that goes out to the plants.
[21:47.300 --> 21:52.300]  And I do that probably at least like every cycle,
[21:52.420 --> 21:53.260]  like at the beginning.
[21:53.260 --> 21:55.580]  And sometimes I do it going into flower again,
[21:55.580 --> 21:57.820]  like depending on like what the plants are looking like.
[21:57.820 --> 21:59.860]  Sometimes they need that little extra boost
[21:59.860 --> 22:04.860]  of biological activity to really get that nutrient breakdown
[22:04.940 --> 22:08.300]  and help with the transition into flower.
[22:11.730 --> 22:14.250]  I got an off topic question real quick.
[22:14.250 --> 22:16.650]  I saw a glimpse of your shirt and I wanted to know,
[22:16.650 --> 22:19.330]  is that MJ shirt, Brothers Grow Too?
[22:19.330 --> 22:21.130]  No, this is Dr. Steve's shirt.
[22:21.130 --> 22:23.770]  Oh, right on.
[22:23.770 --> 22:24.970]  I was hoping it was the Afro.
[22:24.970 --> 22:26.210]  I didn't know if you had that same shirt.
[22:26.210 --> 22:28.610]  I think three of us had that shirt from that one day.
[22:28.610 --> 22:31.250]  So I was hoping that was it.
[22:31.250 --> 22:33.250]  Yeah, he's a cool dude though.
[22:33.250 --> 22:34.850]  He's always been friendly to me and stuff.
[22:34.850 --> 22:37.690]  I did not get to grab one of his shirts though,
[22:37.690 --> 22:38.570]  unfortunately.
[22:40.890 --> 22:44.050]  So, you know, let's kind of get more into
[22:44.050 --> 22:46.250]  what it's going to take to, you know,
[22:46.850 --> 22:50.050]  like when you were saying you start to see certain genetics
[22:50.050 --> 22:51.910]  that are keepers and those aren't.
[22:51.910 --> 22:53.130]  I know that a lot of the viewers,
[22:53.130 --> 22:56.610]  they really want to pick your brain on what catches your eye
[22:56.610 --> 22:57.850]  when you're walking through the garden,
[22:57.850 --> 22:59.610]  when you're seeing certain plants perk up,
[22:59.610 --> 23:03.250]  is there leaf structure, stem,
[23:03.250 --> 23:04.650]  the width of a stem or something?
[23:04.650 --> 23:06.610]  Is there just certain things that stick out to you
[23:06.610 --> 23:08.730]  that are tried and true every time
[23:08.730 --> 23:10.890]  you walk into your garden?
[23:10.890 --> 23:11.730]  Well, I think, you know,
[23:11.730 --> 23:13.710]  the first thing I look at is the structure.
[23:13.710 --> 23:14.790]  And then, you know, after that,
[23:14.790 --> 23:17.390]  I'm automatically going to the turps, you know,
[23:17.390 --> 23:21.150]  and like I rub the stems and stuff a little bit,
[23:21.150 --> 23:22.190]  but I mean, you know,
[23:22.190 --> 23:24.470]  stem turps are good for breeding stem turps.
[23:24.470 --> 23:26.510]  You know, you gotta put the resin going
[23:26.510 --> 23:29.030]  to really see what the turps are gonna be like
[23:29.030 --> 23:31.270]  and, you know, experience those.
[23:31.270 --> 23:33.870]  So, I mean, that's the, to me, like I said,
[23:33.870 --> 23:35.470]  so the structure, that's the first thing
[23:35.470 --> 23:36.710]  that's gonna catch my eye.
[23:36.710 --> 23:38.030]  You know, how's the nodes facing?
[23:38.030 --> 23:39.790]  How are the nugs filling in?
[23:39.790 --> 23:41.090]  And then after that, it's gonna be,
[23:41.090 --> 23:42.190]  what are the turps like?
[23:42.190 --> 23:45.470]  You know, that's my first like question basically
[23:45.470 --> 23:47.390]  is it's always about the turps
[23:47.390 --> 23:51.310]  and it's gotta pass the turps test.
[23:51.310 --> 23:55.030]  Otherwise it's just, I mean, it's nothing at that point.
[23:55.030 --> 23:56.350]  You know, I'd rather grow something
[23:56.350 --> 23:58.750]  that's like a little bit smaller
[23:58.750 --> 24:02.630]  and like maybe not like a super like crazy plant,
[24:02.630 --> 24:03.650]  like structure wise.
[24:03.650 --> 24:05.030]  But I mean, if it's got turps
[24:05.030 --> 24:06.990]  that you're not finding anywhere else,
[24:06.990 --> 24:08.230]  like there's something to that.
[24:08.230 --> 24:10.590]  And I'm, you know, that's something that I'll seek out
[24:10.590 --> 24:12.430]  and I'll try to improve the structure on
[24:12.430 --> 24:15.470]  and, you know, maybe maintain that terpene profile
[24:15.470 --> 24:18.070]  and then, you know, make something with that.
[24:19.670 --> 24:21.550]  And it seems like you really have that dialed in
[24:21.550 --> 24:24.030]  because your stuff always just is memorable.
[24:24.030 --> 24:25.710]  You know, there's a lot of people that just,
[24:25.710 --> 24:27.870]  hey man, that guy over there in the corner,
[24:27.870 --> 24:29.390]  that was kind of how you were described,
[24:29.390 --> 24:31.110]  at least to me during that night.
[24:31.110 --> 24:32.910]  That guy over there has got the fire.
[24:32.910 --> 24:34.110]  I'm like, yeah, great, man.
[24:34.110 --> 24:36.550]  He's, you know, it was just great to see
[24:36.550 --> 24:38.790]  that so many people were enjoying it.
[24:38.790 --> 24:39.950]  Especially at that time, man,
[24:40.310 --> 24:41.510]  I don't know if even here in Denver,
[24:41.510 --> 24:44.350]  everybody who had access or had even seen
[24:44.350 --> 24:48.430]  that amount of quality in one big jar before.
[24:49.450 --> 24:52.470]  I think that, I mean, like for me,
[24:52.470 --> 24:55.430]  Colorado is like kind of like what sets the stage
[24:55.430 --> 24:57.590]  for solventless hash, at least for my scene.
[24:57.590 --> 25:01.010]  Like when I got out there, like I first got out in Colorado,
[25:01.010 --> 25:02.950]  like I think it was like 2015.
[25:02.950 --> 25:06.470]  And I mean, hash was like, I don't know,
[25:06.470 --> 25:07.910]  it was in its younger stages still.
[25:07.910 --> 25:09.030]  Like people were, you know,
[25:09.030 --> 25:10.670]  it was hard to find good full melts
[25:10.670 --> 25:12.630]  and it was hard to even find good rosin.
[25:12.630 --> 25:16.310]  A lot of it was like flower rosin or I don't know,
[25:16.310 --> 25:17.630]  there's just a lot of stuff going on.
[25:17.630 --> 25:19.210]  There was like a few good companies,
[25:19.210 --> 25:22.470]  like they would do some rec drops and stuff.
[25:22.470 --> 25:25.150]  Like I remember going to that, like standing Akimbo place
[25:25.150 --> 25:25.990]  and like, you know,
[25:25.990 --> 25:28.990]  trying to get like the craft rosin drops and stuff,
[25:28.990 --> 25:30.610]  like at that time.
[25:30.610 --> 25:32.670]  And like, that was good stuff for that time.
[25:32.670 --> 25:36.710]  And I think that there's a lot of like pioneering,
[25:36.710 --> 25:39.390]  you know, hash people in Colorado, you know,
[25:39.390 --> 25:40.630]  and they were at that time.
[25:40.630 --> 25:43.050]  And I think it's only increased since then.
[25:43.050 --> 25:46.270]  I think the hash movement has significantly grown
[25:46.270 --> 25:47.830]  and I think it will continue to grow
[25:47.830 --> 25:50.750]  because it's really for all smokers.
[25:50.750 --> 25:52.990]  I mean, even if you prefer flower,
[25:52.990 --> 25:55.410]  there's a special experience that can be brought to you
[25:55.410 --> 25:56.430]  through the hash, you know,
[25:56.430 --> 26:00.190]  it really allows you to have the live plant experience.
[26:03.040 --> 26:03.880]  Oh.
[26:03.880 --> 26:05.660]  Uh oh, what happened?
[26:06.680 --> 26:07.520]  What's that?
[26:07.520 --> 26:08.760]  It disappeared.
[26:08.760 --> 26:10.760]  Somebody clicked the wrong button or something.
[26:10.760 --> 26:14.260]  So while that was going on, I was queuing up.
[26:16.120 --> 26:17.560]  Give me one second.
[26:18.800 --> 26:21.000]  All right, I'm dropping it again, you guys.
[26:21.000 --> 26:23.920]  Anybody out there who's in California,
[26:23.920 --> 26:28.520]  go to vccompost.com and send us a sample.
[26:28.520 --> 26:30.800]  All right, we're really going for this.
[26:30.800 --> 26:32.160]  I'm gonna get the, you know,
[26:32.160 --> 26:34.060]  make a splash for our first one.
[26:36.240 --> 26:38.000]  Give me one second.
[26:38.000 --> 26:40.600]  And funny, you brought up that t-shirt, Brian.
[26:40.600 --> 26:43.360]  Pauline recently bought me a t-shirt that said,
[26:43.360 --> 26:46.440]  the world is made up of, what was it, honey?
[26:47.800 --> 26:51.380]  Protons, electrons, neutrons, and morons.
[26:51.380 --> 26:54.320]  Talking about morons all the time.
[26:54.320 --> 26:55.160]  There he is, he's back.
[26:55.160 --> 26:57.040]  I'm disconnected, I'm sorry.
[26:57.040 --> 26:57.880]  I'm back.
[26:57.880 --> 26:58.720]  All right, cool.
[26:58.720 --> 26:59.560]  Keep going.
[26:59.560 --> 27:00.380]  No worries, brother.
[27:01.220 --> 27:02.060]  Cool.
[27:05.840 --> 27:08.360]  Any questions or like, I don't know.
[27:08.360 --> 27:09.480]  We were on the Terps.
[27:11.120 --> 27:12.840]  Yeah, you were on a roll, man.
[27:12.840 --> 27:14.920]  We want you to embrace the awkward silence.
[27:14.920 --> 27:17.520]  We're all just gonna be quiet until you start talking.
[27:17.520 --> 27:21.360]  No, Andrew, seriously, go back on that roll
[27:21.360 --> 27:26.080]  about the Terps and bringing the flower out as a hash
[27:26.080 --> 27:28.200]  so that you do get that fresh flower.
